source,target,desc
Overwatch,守望先锋,游戏名称
Hero,英雄,游戏中的英雄（可选角色）
Map,地图,游戏中的地图
# 组织
Overwatch,守望先锋,组织
Talon,黑爪,组织
Blackwatch,暗影守望,守望先锋下属组织
Null Sector,归零者,组织
Omnic,智械,种族
God Program,神明计划,一系列人工智能程序
Crusader,十字军,德国组织
Soldier Enhancement Program,士兵强化计划,美国项目
Project Naughton,诺顿计划,士兵强化计划的曾用代号
# 角色（英雄）
Ana,安娜,支援英雄
Anran,安燃,输出英雄
Ashe,艾什,输出英雄
Baptiste,巴蒂斯特,支援英雄
Bastion,堡垒,输出英雄
Brigitte,布丽吉塔,支援英雄
Cassidy,卡西迪,输出英雄
D.Va,D.Va,重装英雄
Domina,金驭,重装英雄
Doomfist,末日铁拳,重装英雄
Echo,回声,输出英雄
Emre,埃姆雷,输出英雄
Freja,弗蕾娅,输出英雄
Genji,源氏,输出英雄
Hanzo,半藏,输出英雄
Hazard,骇灾,重装英雄
Illari,伊拉锐,支援英雄
Jetpack Cat,飞天猫,支援英雄
Junker Queen,渣客女王,重装英雄
Junkrat,狂鼠,输出英雄
Juno,朱诺,支援英雄
Kiriko,雾子,支援英雄
Lifeweaver,生命之梭,支援英雄
Lúcio,卢西奥,支援英雄
Mauga,毛加,重装英雄
Mei,美,输出英雄
Mercy,天使,支援英雄
Mizuki,瑞稀,支援英雄
Moira,莫伊拉,支援英雄
Orisa,奥丽莎,重装英雄
Pharah,法老之鹰,输出英雄
Ramattra,拉玛刹,重装英雄
Reaper,死神,输出英雄
Reinhardt,莱因哈特,重装英雄
Roadhog,路霸,重装英雄
Sierra,西拉,输出英雄
Sigma,西格玛,重装英雄
Sojourn,索杰恩,输出英雄
Soldier: 76,士兵：76,输出英雄
Sombra,黑影,输出英雄
Symmetra,秩序之光,输出英雄
Torbjörn,托比昂,输出英雄
Tracer,猎空,输出英雄
Vendetta,斩仇,输出英雄
Venture,探奇,输出英雄
Widowmaker,黑百合,输出英雄
Winston,温斯顿,重装英雄
Wrecking Ball,破坏球,重装英雄
Wuyang,无漾,支援英雄
Zarya,查莉娅,重装英雄
Zenyatta,禅雅塔,支援英雄
# 角色（英雄） END
# 角色（其他）
Ana Amari,安娜·艾玛莉,安娜的全名
Anran Ye,叶安燃,安燃的全名
